power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,sample_id,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,cooling_h_sampled_W_per_m2K,insertion_sampled_mm,overheat
30.0,30.0,2.0,4.0,642.3907960876506,0.25,281,106,0.05,0.2,2.0,1.0,True,0.0,68.99839171597665,standard_30W_30s,0,800.0,0.5,642.3907960876506,0.25,False
30.0,30.0,2.0,4.0,763.2353585116302,0.6213413062820673,281,106,0.05,0.2,2.0,1.0,True,0.0,71.1795224835902,standard_30W_30s,1,800.0,0.5,763.2353585116302,0.6213413062820673,False
30.0,30.0,2.0,4.0,1090.1231116202234,0.3495010034024631,281,106,0.05,0.2,2.0,1.0,True,0.0,65.48979482019718,standard_30W_30s,2,800.0,0.5,1090.1231116202234,0.3495010034024631,False
30.0,30.0,2.0,4.0,732.5908086934072,0.7557438991434821,281,106,0.05,0.2,2.0,1.0,True,0.0,73.08886740642252,standard_30W_30s,3,800.0,0.5,732.5908086934072,0.7557438991434821,False
30.0,30.0,2.0,4.0,696.9007969019679,0.4290116700682478,281,106,0.05,0.2,2.0,1.0,True,0.0,70.05801782434463,standard_30W_30s,4,800.0,0.5,696.9007969019679,0.4290116700682478,False
30.0,30.0,2.0,4.0,839.278323456704,0.5170611617257025,281,106,0.05,0.2,2.0,1.0,True,0.0,69.17602178291098,standard_30W_30s,5,800.0,0.5,839.278323456704,0.5170611617257025,False
30.0,30.0,2.0,4.0,805.9413515745268,0.4426429191042182,281,106,0.05,0.2,2.0,1.0,True,0.0,68.80125000184614,standard_30W_30s,6,800.0,0.5,805.9413515745268,0.4426429191042182,False
30.0,30.0,2.0,4.0,903.8897694475218,0.7139145733249965,281,106,0.05,0.2,2.0,1.0,True,0.0,70.48096991908305,standard_30W_30s,7,800.0,0.5,903.8897694475218,0.7139145733249965,False
50.0,10.0,2.0,4.0,642.3907960876506,0.25,281,106,0.05,0.2,1.7523200387948907,0.8761600193974454,False,0.0,74.27847707018756,hpsd_50W_10s,0,800.0,0.5,642.3907960876506,0.25,False
50.0,10.0,2.0,4.0,763.2353585116302,0.6213413062820673,281,106,0.05,0.2,1.8954990558790146,0.9477495279395073,False,0.0,77.94784517959769,hpsd_50W_10s,1,800.0,0.5,763.2353585116302,0.6213413062820673,False
50.0,10.0,2.0,4.0,1090.1231116202234,0.3495010034024631,281,106,0.05,0.2,1.7043668506721972,0.8521834253360986,False,0.0,70.21488621670254,hpsd_50W_10s,2,800.0,0.5,1090.1231116202234,0.3495010034024631,False
50.0,10.0,2.0,4.0,732.5908086934072,0.7557438991434821,281,106,0.05,0.2,1.9595151856863688,0.9797575928431844,False,0.0,80.6194419452583,hpsd_50W_10s,3,800.0,0.5,732.5908086934072,0.7557438991434821,False
