name,wall_thickness_mm,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,transmural_probability,overheat_probability,depth_fraction_mean,depth_fraction_p10,depth_fraction_p50,depth_fraction_p90,lesion_depth_mean_mm,tmax_mean_C,tmax_p90_C,n_samples
hpsd_50W_10s,2.0,800.0,0.5,0.0,0.0,0.917782651489899,0.8689670411790413,0.9139326297716521,0.9629180337258725,1.835565302979798,75.77194544845315,78.74932420929588,8
hpsd_50W_10s,2.0,800.0,1.0,0.75,0.0,0.9930156236354085,0.9731174505588915,1.0,1.0,1.986031247270817,83.58027874837369,87.0832700649344,8
hpsd_50W_10s,2.0,800.0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,2.0,91.9771845674042,96.35750495394139,8
hpsd_50W_10s,2.0,800.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,100.59700051221328,107.12222457685623,8
hpsd_50W_10s,2.0,1500.0,0.5,0.0,0.0,0.8603540767395065,0.8139488387605694,0.8634403140776608,0.9059436779768715,1.720708153479013,69.6014417775115,71.76499329553718,8
hpsd_50W_10s,2.0,1500.0,1.0,0.375,0.0,0.970505005765687,0.9252103237564409,0.9833891093557287,1.0,1.941010011531374,75.91407395544773,79.69344437215007,8
hpsd_50W_10s,2.0,1500.0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,2.0,83.57907124404035,87.60178744596021,8
hpsd_50W_10s,2.0,1500.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,91.14367036529194,96.17779081621599,8
hpsd_50W_10s,2.0,2500.0,0.5,0.0,0.0,0.8198332968278781,0.7528936265625424,0.8150197720937951,0.8962634415202256,1.6396665936557562,66.81845226411609,69.54169703166393,8
hpsd_50W_10s,2.0,2500.0,1.0,0.125,0.0,0.9505212904368916,0.901260760170623,0.9545454473456694,0.9918446240264298,1.9010425808737832,72.17303428139402,74.85302729395679,8
hpsd_50W_10s,2.0,2500.0,1.5,0.875,0.0,0.9975165978268653,0.9940398347844768,1.0,1.0,1.9950331956537306,78.25838717687755,81.64335398341693,8
hpsd_50W_10s,2.0,2500.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,86.3712341504401,89.46099588102398,8
hpsd_50W_10s,3.0,800.0,0.5,0.0,0.0,0.5715369699325447,0.5371592984168145,0.5789698413376321,0.5973973888246833,1.714610909797634,73.517714640236,75.66210493918723,8
hpsd_50W_10s,3.0,800.0,1.0,0.0,0.0,0.6487815672852127,0.6086319951076257,0.6557040577722288,0.679724365540139,1.9463447018556383,81.1837220412034,84.74178302686326,8
hpsd_50W_10s,3.0,800.0,1.5,0.0,0.0,0.7171737793016759,0.6888748075478685,0.7200098183509815,0.743255671343719,2.1515213379050278,89.3349961957882,94.5416900182243,8
hpsd_50W_10s,3.0,800.0,2.0,0.0,0.125,0.7751554895422504,0.7526042027331359,0.776835269582288,0.7950373923215087,2.325466468626751,97.5302122683623,100.56551284644749,8
hpsd_50W_10s,3.0,1500.0,0.5,0.0,0.0,0.536046585861827,0.48453496112275457,0.5387490868524697,0.5829979798320373,1.608139757585481,68.30339690634794,71.82689972224148,8
hpsd_50W_10s,3.0,1500.0,1.0,0.0,0.0,0.6133502016193109,0.5586410308598173,0.6240959213043742,0.6521252448785825,1.8400506048579326,73.70197744746876,77.22485796857072,8
hpsd_50W_10s,3.0,1500.0,1.5,0.0,0.0,0.6937463042867795,0.6667875863103805,0.6953082386425424,0.7260953483083555,2.0812389128603384,81.36086077032805,84.90192979195596,8
hpsd_50W_10s,3.0,1500.0,2.0,0.0,0.0,0.7612518791446662,0.7387056830903028,0.7571660622130927,0.7870846778053532,2.2837556374339982,89.17301710135827,91.74924201294866,8
hpsd_50W_10s,3.0,2500.0,0.5,0.0,0.0,0.4960320656824925,0.4456668328513236,0.4941278849707399,0.5434522408369195,1.4880961970474775,65.10996314359858,67.34988259106235,8
hpsd_50W_10s,3.0,2500.0,1.0,0.0,0.0,0.5987011566437642,0.5578510251148834,0.5952749833931443,0.6502158648830257,1.7961034699312926,70.59141932926302,75.29317635927696,8
hpsd_50W_10s,3.0,2500.0,1.5,0.0,0.0,0.6747716717778862,0.6388461196932387,0.6696133898568479,0.7229094492820297,2.0243150153336584,76.64205599144744,82.291213038031,8
hpsd_50W_10s,3.0,2500.0,2.0,0.0,0.0,0.7444264692811265,0.7154546572045993,0.7408451130124338,0.7776949257247547,2.2332794078433795,83.67651982862229,87.07830467725586,8
hpsd_50W_10s,4.0,800.0,0.5,0.0,0.0,0.4033622199959822,0.37983094615428575,0.40637476900380415,0.42365139001275814,1.6134488799839288,71.86439772685947,74.7478937708255,8
hpsd_50W_10s,4.0,800.0,1.0,0.0,0.0,0.4658010452987507,0.4415833290981893,0.47239870644677434,0.4886080927552898,1.8632041811950029,79.23812256990766,82.79376778767583,8
hpsd_50W_10s,4.0,800.0,1.5,0.0,0.0,0.5172813400813303,0.4957353089682181,0.5170394006611059,0.5383652235816739,2.0691253603253212,86.59815737515638,91.52051162417462,8
hpsd_50W_10s,4.0,800.0,2.0,0.0,0.125,0.5661409583623002,0.5458971192188372,0.5609469168075164,0.5881747972276854,2.2645638334492006,94.94773621854145,99.81494443556936,8
hpsd_50W_10s,4.0,1500.0,0.5,0.0,0.0,0.3674310024362106,0.3392232165892998,0.36593924972199954,0.3964111985479759,1.4697240097448423,66.1189124315233,67.8782167348316,8
hpsd_50W_10s,4.0,1500.0,1.0,0.0,0.0,0.439475813516467,0.4062986572274836,0.44088168298137287,0.4704960007716825,1.757903254065868,72.41491074669602,75.95829261812086,8
