protocol_key,use_controller,power_W,power_W_status,power_W_source,duration_s,duration_s_status,duration_s_source,computed_max_energy_J,computed_max_energy_J_status,computed_max_energy_J_source,manuscript_protocol_label,manuscript_protocol_label_status,manuscript_protocol_label_source,manuscript_energy_display,manuscript_energy_display_status,manuscript_energy_display_source,manuscript_role,manuscript_role_status,manuscript_role_source
standard_30W_30s,False,30,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,30,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,900,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,Standard RF,MANUAL,papers/V13/CMBBE_RF_ablation_reduced_model_main.docx :: Table 1,900,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,Long-duration comparator,MANUAL,papers/V13/CMBBE_RF_ablation_reduced_model_main.docx :: Table 1
hpsd_50W_10s,False,50,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,10,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,500,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,HPSD,MANUAL,papers/V13/CMBBE_RF_ablation_reduced_model_main.docx :: Table 1,500,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,Intermediate comparator,MANUAL,papers/V13/CMBBE_RF_ablation_reduced_model_main.docx :: Table 1
vhpsd_90W_4s_fixed,False,90,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,4,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,360,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,90 W / 4 s fixed,MANUAL,papers/V13/CMBBE_RF_ablation_reduced_model_main.docx :: Table 1,360,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,Fixed-power comparator,MANUAL,papers/V13/CMBBE_RF_ablation_reduced_model_main.docx :: Table 1
vhpsd_90W_4s_controlled,True,90,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,4,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,360,AUTO,simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml,90 W / 4 s temp.-limited,MANUAL,papers/V13/CMBBE_RF_ablation_reduced_model_main.docx :: Table 1,up to 360,MANUAL,papers/V13/CMBBE_RF_ablation_reduced_model_main.docx :: Table 1,Temperature-limited comparator,MANUAL,papers/V13/CMBBE_RF_ablation_reduced_model_main.docx :: Table 1
