power_W,duration_s,wall_thickness_mm,cooling_h_W_per_m2K,nx,ny,dt_s,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name
30.0,30.0,2.0,1500.0,241,61,0.05,1.1666666666666667,0.5833333333333334,False,0.0,73.09494926837897,standard_30W_30s
50.0,10.0,2.0,1500.0,241,61,0.05,1.2666666666666668,0.6333333333333334,False,0.0,96.33289954745096,hpsd_50W_10s
90.0,4.0,2.0,1500.0,241,61,0.05,1.2333333333333334,0.6166666666666667,False,0.329999999999998,136.7275842809006,vhpsd_90W_4s
30.0,30.0,4.0,1500.0,241,121,0.05,1.4333333333333333,0.35833333333333334,False,0.0,72.78606929406729,standard_30W_30s
50.0,10.0,4.0,1500.0,241,121,0.05,1.2000000000000002,0.30000000000000004,False,0.0,93.92565672859952,hpsd_50W_10s
90.0,4.0,4.0,1500.0,241,121,0.05,0.9666666666666667,0.24166666666666667,False,0.21333333333333204,132.1843127838419,vhpsd_90W_4s
30.0,30.0,6.0,1500.0,241,181,0.05,1.3666666666666667,0.22777777777777777,False,0.0,72.44813622390029,standard_30W_30s
50.0,10.0,6.0,1500.0,241,181,0.05,1.1,0.18333333333333335,False,0.0,93.32232567379526,hpsd_50W_10s
90.0,4.0,6.0,1500.0,241,181,0.05,0.9000000000000001,0.15000000000000002,False,0.1999999999999988,131.34783912419863,vhpsd_90W_4s
