power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name
30.0,30.0,4.0,4.0,800.0,1.0,281,141,0.05,0.2,2.9545254614083194,4.21756483806624,10.395918367346995,0.7005287588567278,0.7386313653520798,False,0.0,71.1044429020995,standard_30W_30s
50.0,10.0,4.0,4.0,800.0,1.0,281,141,0.05,0.2,1.864666161656513,3.5023616398444277,5.57265306122452,0.532402519615119,0.46616654041412825,False,0.0,78.92884338139135,hpsd_50W_10s
90.0,4.0,4.0,4.0,800.0,1.0,281,141,0.05,0.2,1.3490357978546168,3.3167112683617517,3.960000000000022,0.40673899194154345,0.3372589494636542,False,0.0,90.74077014351649,vhpsd_90W_4s
30.0,30.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,2.7550288044576625,3.6450408277019326,8.052244897959229,0.7558293403793256,0.6887572011144156,False,0.0,65.76571451583307,standard_30W_30s
50.0,10.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.7641540057025002,3.1514651854000872,4.466938775510229,0.5597885116660541,0.44103850142562506,False,0.0,72.13923982573938,hpsd_50W_10s
90.0,4.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.302022709167702,3.1079398109863403,3.4861224489796108,0.4189343386140062,0.3255056772919255,False,0.0,83.45958660172624,vhpsd_90W_4s
30.0,30.0,4.0,4.0,2500.0,1.0,281,141,0.05,0.2,2.607811801749599,3.2621868002605874,6.443265306122484,0.7994060308077036,0.6519529504373998,False,0.0,62.96791400858173,standard_30W_30s
50.0,10.0,4.0,4.0,2500.0,1.0,281,141,0.05,0.2,1.679567667453349,2.894349808675524,3.5926530612245093,0.5802918715695708,0.41989191686333727,False,0.0,68.30795200849552,hpsd_50W_10s
90.0,4.0,4.0,4.0,2500.0,1.0,281,141,0.05,0.2,1.2567716797558757,2.9491989336696225,2.905714285714302,0.426140015652353,0.3141929199389689,False,0.0,78.71769188542874,vhpsd_90W_4s
