power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,transmural_int
90.0,4.0,2.0,4.0,2500.0,2.0,281,106,0.05,0.2,1.74397496868145,0.8719874843407249,False,0.0514285714285717,100.71204753035391,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,800.0,0.5,281,123,0.05,0.2,2.806493833177093,0.9354979443923642,False,0.0,67.50511099450097,standard_30W_30s,0
50.0,10.0,3.0,4.0,800.0,0.5,281,123,0.05,0.2,1.7167310054828695,0.5722436684942899,False,0.0,73.34382558857571,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,800.0,0.5,281,123,0.05,0.2,1.2284947017651544,0.4094982339217181,False,0.0,83.81142574277419,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,800.0,1.0,281,123,0.05,0.2,3.0,1.0,True,0.0,72.82683940338813,standard_30W_30s,1
50.0,10.0,3.0,4.0,800.0,1.0,281,123,0.05,0.2,1.9479717696669672,0.6493239232223224,False,0.0,80.97830822329767,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,800.0,1.0,281,123,0.05,0.2,1.4120242482660554,0.4706747494220185,False,0.0,93.34938824195096,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,800.0,1.5,281,123,0.05,0.2,3.0,1.0,True,0.0,79.09290245226208,standard_30W_30s,1
50.0,10.0,3.0,4.0,800.0,1.5,281,123,0.05,0.2,2.1492444604421634,0.7164148201473878,False,0.0,88.97638200551745,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,800.0,1.5,281,123,0.05,0.2,1.5715702186320033,0.5238567395440011,False,0.1770491803278698,102.3228029912425,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,800.0,2.0,281,123,0.05,0.2,3.0,1.0,True,0.0,86.43784732565815,standard_30W_30s,1
50.0,10.0,3.0,4.0,800.0,2.0,281,123,0.05,0.2,2.3288013729759265,0.7762671243253089,False,0.0,97.10888012287974,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,800.0,2.0,281,123,0.05,0.2,1.7160376733187794,0.5720125577729265,False,0.973770491803284,110.51008473325618,vhpsd_90W_4s,0
