power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,case
50.0,10.0,4.0,4.0,1500.0,1.0,281,141,0.1,0.2,1.7651414198010005,0.44128535495025,False,0.0,72.1067455856304,dt_0.100
50.0,10.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.7641540057025002,0.441038501425625,False,0.0,72.13923982573938,dt_0.050
50.0,10.0,4.0,4.0,1500.0,1.0,281,141,0.025,0.2,1.7636590466997366,0.4409147616749341,False,0.0,72.15547877072694,dt_0.025
