name,wall_thickness_mm,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,transmural_probability,transmural_probability_ci_low,transmural_probability_ci_high,overheat_probability,overheat_probability_ci_low,overheat_probability_ci_high,depth_fraction_mean,depth_fraction_p10,depth_fraction_p50,depth_fraction_p90,lesion_depth_mean_mm,lesion_width_mean_mm,lesion_area_mean_mm2,depth_to_width_ratio_mean,tmax_mean_C,tmax_p90_C,n_samples
hpsd_50W_10s,2.0,800.0,0.5,0.046875,0.016068725432185196,0.12899860788542522,0.0,0.0,0.056626022971156334,0.9179016393955624,0.8637824362828453,0.9132009578562077,0.9755434963374616,1.8358032787911247,3.4068603692904933,5.297544642857172,0.5389645896231277,75.91200226099167,80.05421905871438,64.0
hpsd_50W_10s,2.0,800.0,1.0,0.71875,0.598658376004965,0.8140677389451542,0.0,0.0,0.056626022971156334,0.9931309561070814,0.9722398926978378,1.0,1.0,1.9862619122141627,3.726744995770452,6.431843112244934,0.5335577140591845,83.72458936547496,89.19595944209877,64.0
hpsd_50W_10s,2.0,800.0,1.5,1.0,0.9433739770288436,1.0,0.015625,0.0027634707504014047,0.08334298900290629,1.0,1.0,1.0,1.0,2.0,3.9875773798345584,7.251084183673509,0.5019740023127955,91.85998353490032,95.99982860384178,64.0
hpsd_50W_10s,2.0,800.0,2.0,1.0,0.9433739770288436,1.0,0.515625,0.3958139224399903,0.6336665143421609,1.0,1.0,1.0,1.0,2.0,4.208666990012834,7.8569770408163695,0.4755584466395637,100.16346247299393,105.21896094028074,64.0
hpsd_50W_10s,2.0,1500.0,0.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.8633505307387197,0.7982208891474631,0.8636994173717578,0.9215919008074434,1.7267010614774394,3.011627054476259,4.091556122449003,0.5734650821104972,69.79010166513311,72.18283848097096,64.0
hpsd_50W_10s,2.0,1500.0,1.0,0.34375,0.2392297503546903,0.46596588182379606,0.0,0.0,0.056626022971156334,0.970912319062077,0.9255699135667151,0.9786990575504846,1.0,1.941824638124154,3.381684356885518,5.464113520408193,0.5746513416563763,76.14192585181394,80.86016556147133,64.0
hpsd_50W_10s,2.0,1500.0,1.5,0.984375,0.9166570109970937,0.9972365292495986,0.0,0.0,0.056626022971156334,0.9996011666901057,1.0,1.0,1.0,1.9992023333802114,3.6830904311882726,6.5197193877551385,0.5435083562028284,83.49268325920275,88.11124893416759,64.0
hpsd_50W_10s,2.0,1500.0,2.0,1.0,0.9433739770288436,1.0,0.0,0.0,0.056626022971156334,1.0,1.0,1.0,1.0,2.0,3.9361919527124014,7.220720663265346,0.5085515848271887,91.30269641416909,96.02967901269753,64.0
hpsd_50W_10s,2.0,2500.0,0.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.8169314441480464,0.7482054303715289,0.8121511883520451,0.8842991347088245,1.6338628882960928,2.7098828755136526,3.15551020408165,0.6032155924515394,66.67993854860552,69.15189723490415,64.0
hpsd_50W_10s,2.0,2500.0,1.0,0.125,0.064721653926208,0.22774786330215924,0.0,0.0,0.056626022971156334,0.9445000537385471,0.8826165886804764,0.9514300762658925,1.0,1.8890001074770941,3.138114430767758,4.6040051020408415,0.6021331467440895,71.92325406129147,75.05541149546315,64.0
hpsd_50W_10s,2.0,2500.0,1.5,0.890625,0.7910113670806147,0.9459995524731695,0.0,0.0,0.056626022971156334,0.9976784950963984,0.9999524200675498,1.0,1.0,1.9953569901927968,3.4729486576561914,5.810567602040848,0.5753823705932768,78.48099691220624,82.50738006827702,64.0
hpsd_50W_10s,2.0,2500.0,2.0,1.0,0.9433739770288436,1.0,0.0,0.0,0.056626022971156334,1.0,1.0,1.0,1.0,2.0,3.751545606920101,6.688125000000037,0.5335709390588386,85.76110037029021,90.81778627775503,64.0
hpsd_50W_10s,3.0,800.0,0.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.5735970325755849,0.5311196542444034,0.5703137043452248,0.6173425357110924,1.7207910977267549,3.273145776459426,4.769665727459043,0.5257190180002524,73.72555205546864,78.27875237111753,64.0
