power_W,duration_s,wall_thickness_mm,cooling_h_W_per_m2K,nx,ny,dt_s,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name
30.0,30.0,4.0,800.0,241,121,0.05,1.8333333333333335,0.45833333333333337,False,0.0,86.13453196219164,standard_30W_30s
50.0,10.0,4.0,800.0,241,121,0.05,1.4,0.35,False,0.06666666666666628,112.94951928192116,hpsd_50W_10s
90.0,4.0,4.0,800.0,241,121,0.05,1.0666666666666667,0.26666666666666666,False,0.606666666666663,159.65625130014146,vhpsd_90W_4s
30.0,30.0,4.0,1500.0,241,121,0.05,1.4333333333333333,0.35833333333333334,False,0.0,72.78606929406729,standard_30W_30s
50.0,10.0,4.0,1500.0,241,121,0.05,1.2000000000000002,0.30000000000000004,False,0.0,93.92565672859952,hpsd_50W_10s
90.0,4.0,4.0,1500.0,241,121,0.05,0.9666666666666667,0.24166666666666667,False,0.21333333333333204,132.1843127838419,vhpsd_90W_4s
30.0,30.0,4.0,2500.0,241,121,0.05,1.0333333333333334,0.25833333333333336,False,0.0,64.32997753539999,standard_30W_30s
50.0,10.0,4.0,2500.0,241,121,0.05,0.9333333333333333,0.23333333333333334,False,0.0,81.13895490993973,hpsd_50W_10s
90.0,4.0,4.0,2500.0,241,121,0.05,0.8333333333333334,0.20833333333333334,False,0.04666666666666639,112.47330895374832,vhpsd_90W_4s
