power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,case
50.0,10.0,4.0,4.0,1500.0,1.0,201,101,0.05,0.2,1.7321616235894066,3.1447116124915526,4.341599999999991,0.5508173203256042,0.43304040589735165,False,0.0,70.71706944113448,grid_201x101
50.0,10.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.7641540057025002,3.1514651854000872,4.466938775510229,0.5597885116660541,0.44103850142562506,False,0.0,72.13923982573938,grid_281x141
50.0,10.0,4.0,4.0,1500.0,1.0,361,181,0.05,0.2,1.762671491343396,3.173443391342678,4.533333333333306,0.5554444412501756,0.440667872835849,False,0.0,72.45168392275886,grid_361x181
