power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name
30.0,30.0,2.0,4.0,1500.0,1.0,281,106,0.05,0.2,2.0,4.033407864359949,7.324897959183714,0.49585860573943585,1.0,True,0.0,69.02823745928728,standard_30W_30s
50.0,10.0,2.0,4.0,1500.0,1.0,281,106,0.05,0.2,1.96482681853361,3.3818927655185353,5.469795918367377,0.5809843643082956,0.982413409266805,False,0.0,75.89068473896921,hpsd_50W_10s
90.0,4.0,2.0,4.0,1500.0,1.0,281,106,0.05,0.2,1.446999233430813,3.270175009234817,4.084897959183696,0.44248372926358887,0.7234996167154065,False,0.0,88.34556870664963,vhpsd_90W_4s
30.0,30.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,2.7550288044576625,3.6450408277019326,8.052244897959229,0.7558293403793256,0.6887572011144156,False,0.0,65.76571451583307,standard_30W_30s
50.0,10.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.7641540057025002,3.1514651854000872,4.466938775510229,0.5597885116660541,0.44103850142562506,False,0.0,72.13923982573938,hpsd_50W_10s
90.0,4.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.302022709167702,3.1079398109863403,3.4861224489796108,0.4189343386140062,0.3255056772919255,False,0.0,83.45958660172624,vhpsd_90W_4s
30.0,30.0,6.0,4.0,1500.0,1.0,281,176,0.05,0.2,2.482716676452273,3.312304414130684,6.472653061224525,0.7495436306701487,0.41378611274204546,False,0.0,63.33296361075613,standard_30W_30s
50.0,10.0,6.0,4.0,1500.0,1.0,281,176,0.05,0.2,1.594613857929118,2.9429696795671174,3.658775510204102,0.5418383576971375,0.2657689763215197,False,0.0,69.20864619106729,hpsd_50W_10s
90.0,4.0,6.0,4.0,1500.0,1.0,281,176,0.05,0.2,1.173392917468195,2.9659649181709224,2.9534693877551184,0.39561928405809105,0.19556548624469916,False,0.0,79.5995731328247,vhpsd_90W_4s
