name,transmural_probability_mean,transmural_probability_max,overheat_probability_mean,overheat_probability_max,depth_fraction_p50_mean,depth_fraction_p50_max,lesion_width_mean_mm,lesion_area_mean_mm2
hpsd_50W_10s,0.11848958333333333,1.0,0.015625,0.515625,0.5431369962595873,1.0,3.2862751553933203,5.109290008876192
standard_30W_30s,0.3182291666666667,1.0,0.0005208333333333333,0.015625,0.7362914546475279,1.0,3.9159552914480122,8.728792343633588
vhpsd_90W_4s,0.0,0.0,0.19140625,1.0,0.40919277741679533,0.8857596550288147,3.2049047319821327,3.8346411205538664
