power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,sample_id,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,cooling_h_sampled_W_per_m2K,insertion_sampled_mm,overheat
30.0,30.0,2.0,4.0,682.0471823367976,0.5011517376365113,281,106,0.05,0.2,2.0,4.303328702928244,8.280000000000046,0.46475650317836037,1.0,True,0.0,71.04524045418016,standard_30W_30s,62,800.0,0.5,682.0471823367976,0.5011517376365113,False
30.0,30.0,2.0,4.0,742.1708565255137,0.565972291468205,281,106,0.05,0.2,2.0,4.275428437618439,8.191836734693922,0.4677893757740146,1.0,True,0.0,70.87509192763507,standard_30W_30s,63,800.0,0.5,742.1708565255137,0.565972291468205,False
50.0,10.0,2.0,4.0,808.2998356171678,0.5391494940026424,281,106,0.05,0.2,1.850448245609335,3.4215401484066117,5.359591836734724,0.5408231864445829,0.9252241228046675,False,0.0,75.97419650383246,hpsd_50W_10s,0,800.0,0.5,808.2998356171678,0.5391494940026424,False
50.0,10.0,2.0,4.0,892.6384273128396,0.6427171928549213,281,106,0.05,0.2,1.8806870607153994,3.4329016637392593,5.462448979591867,0.5478418099127479,0.9403435303576997,False,0.0,76.35992375551237,hpsd_50W_10s,1,800.0,0.5,892.6384273128396,0.6427171928549213,False
50.0,10.0,2.0,4.0,639.1108211777487,0.5885364605867072,281,106,0.05,0.2,1.9079504288659486,3.595288824698571,5.811428571428604,0.5306807107565026,0.9539752144329743,False,0.0,79.69202275630107,hpsd_50W_10s,2,800.0,0.5,639.1108211777487,0.5885364605867072,False
50.0,10.0,2.0,4.0,966.4146746086911,0.25,281,106,0.05,0.2,1.675267157914011,3.071264603523678,4.224489795918391,0.5454649384465176,0.8376335789570055,False,0.0,70.04321727563553,hpsd_50W_10s,3,800.0,0.5,966.4146746086911,0.25,False
50.0,10.0,2.0,4.0,733.9690860188978,0.7110189918760268,281,106,0.05,0.2,1.939232654974456,3.5922716201190026,5.8775510204081955,0.5398346394836965,0.969616327487228,False,0.0,79.87581215677686,hpsd_50W_10s,4,800.0,0.5,733.9690860188978,0.7110189918760268,False
50.0,10.0,2.0,4.0,941.6634647088113,0.7211151833354164,281,106,0.05,0.2,1.9084301812063587,3.451811639829148,5.568979591836765,0.5528778451250657,0.9542150906031793,False,0.0,76.90327892635045,hpsd_50W_10s,5,800.0,0.5,941.6634647088113,0.7211151833354164,False
50.0,10.0,2.0,4.0,910.8347009533558,0.5445087319736587,281,106,0.05,0.2,1.832498536030425,3.346381213555901,5.172244897959212,0.5476060314369241,0.9162492680152124,False,0.0,74.67715004932406,hpsd_50W_10s,6,800.0,0.5,910.8347009533558,0.5445087319736587,False
50.0,10.0,2.0,4.0,772.5862974531808,0.5490346026391428,281,106,0.05,0.2,1.8621996211347795,3.453945314997047,5.462448979591867,0.5391514489384357,0.9310998105673898,False,0.0,76.66509994450162,hpsd_50W_10s,7,800.0,0.5,772.5862974531808,0.5490346026391428,False
50.0,10.0,2.0,4.0,623.7674211891723,0.4233998427088593,281,106,0.05,0.2,1.8378524276350414,3.50067406355321,5.469795918367377,0.5249995841571173,0.9189262138175207,False,0.0,77.33553324333835,hpsd_50W_10s,8,800.0,0.5,623.7674211891723,0.4233998427088593,False
50.0,10.0,2.0,4.0,795.5369871721952,0.5607252348723503,281,106,0.05,0.2,1.8628949151592604,3.4452470689373835,5.455102040816357,0.5407144619482493,0.9314474575796302,False,0.0,76.48661839024828,hpsd_50W_10s,9,800.0,0.5,795.5369871721952,0.5607252348723503,False
50.0,10.0,2.0,4.0,977.7884749826313,0.35547658566032936,281,106,0.05,0.2,1.7284437707170923,3.157022935337511,4.529387755102066,0.5474916736809541,0.8642218853585462,False,0.0,71.29289966681533,hpsd_50W_10s,10,800.0,0.5,977.7884749826313,0.35547658566032936,False
50.0,10.0,2.0,4.0,758.5418335145387,0.6550642003269568,281,106,0.05,0.2,1.9116756353304087,3.5405269146721525,5.752653061224522,0.5399409978803754,0.9558378176652044,False,0.0,78.5581852142247,hpsd_50W_10s,11,800.0,0.5,758.5418335145387,0.6550642003269568,False
50.0,10.0,2.0,4.0,650.6902813696537,0.6296561769482467,281,106,0.05,0.2,1.9228715443539806,3.611615936876513,5.884897959183705,0.5324130743583344,0.9614357721769903,False,0.0,80.13067915954475,hpsd_50W_10s,12,800.0,0.5,650.6902813696537,0.6296561769482467,False
50.0,10.0,2.0,4.0,868.674418431519,0.25,281,106,0.05,0.2,1.69647306906087,3.1480834241412348,4.452244897959208,0.5388907600260469,0.848236534530435,False,0.0,71.04660410709754,hpsd_50W_10s,13,800.0,0.5,868.674418431519,0.25,False
50.0,10.0,2.0,4.0,764.1456090716177,0.6867116681818205,281,106,0.05,0.2,1.9239363678505823,3.5564868543518777,5.789387755102072,0.5409654095856891,0.9619681839252912,False,0.0,78.96429419578834,hpsd_50W_10s,14,800.0,0.5,764.1456090716177,0.6867116681818205,False
50.0,10.0,2.0,4.0,719.4435527530652,0.366651309224833,281,106,0.05,0.2,1.789152276581731,3.3672622585715617,5.1134693877551305,0.5313373711914894,0.8945761382908655,False,0.0,74.73081065805782,hpsd_50W_10s,15,800.0,0.5,719.4435527530652,0.366651309224833,False
50.0,10.0,2.0,4.0,738.8557818288641,0.25,281,106,0.05,0.2,1.7269012936264596,3.2581165652519655,4.790204081632679,0.5300305434262172,0.8634506468132298,False,0.0,72.71453327227836,hpsd_50W_10s,16,800.0,0.5,738.8557818288641,0.25,False
50.0,10.0,2.0,4.0,838.2516651361437,0.40950593583926237,281,106,0.05,0.2,1.7828405813216217,3.301629943661808,4.97020408163268,0.5399880094812471,0.8914202906608109,False,0.0,73.64506651160627,hpsd_50W_10s,17,800.0,0.5,838.2516651361437,0.40950593583926237,False
50.0,10.0,2.0,4.0,577.1814867460546,0.3883493486966706,281,106,0.05,0.2,1.833848593565738,3.5257076394438487,5.477142857142887,0.5201363190326843,0.916924296782869,False,0.0,77.77067815706327,hpsd_50W_10s,18,800.0,0.5,577.1814867460546,0.3883493486966706,False
50.0,10.0,2.0,4.0,902.2224534082447,0.4906362257652377,281,106,0.05,0.2,1.8093954911161088,3.3153345321640115,5.036326530612272,0.545765585210813,0.9046977455580544,False,0.0,73.99802252351304,hpsd_50W_10s,19,800.0,0.5,902.2224534082447,0.4906362257652377,False
50.0,10.0,2.0,4.0,457.18927797052487,0.7984672838806073,281,106,0.05,0.2,2.0,3.9203847459919383,6.766530612244935,0.5101540102778761,1.0,True,0.0,87.95889229685451,hpsd_50W_10s,20,800.0,0.5,457.18927797052487,0.7984672838806073,False
50.0,10.0,2.0,4.0,784.978572557969,0.251687783552093,281,106,0.05,0.2,1.7156970407323437,3.214082720446229,4.621224489795943,0.5338061244715394,0.8578485203661719,False,0.0,72.08785479304231,hpsd_50W_10s,21,800.0,0.5,784.978572557969,0.251687783552093,False
50.0,10.0,2.0,4.0,729.9939825707932,0.7471361231600537,281,106,0.05,0.2,1.9561674231179806,3.6197526151168073,6.013469387755135,0.5404146722482184,0.9780837115589903,False,0.0,80.52770262750684,hpsd_50W_10s,22,800.0,0.5,729.9939825707932,0.7471361231600537,False
50.0,10.0,2.0,4.0,926.0230849462004,0.8614456475938108,281,106,0.05,0.2,1.9719095197327667,3.555954288548258,5.940000000000032,0.5545373645783878,0.9859547598663834,False,0.0,79.25771541725051,hpsd_50W_10s,23,800.0,0.5,926.0230849462004,0.8614456475938108,False
50.0,10.0,2.0,4.0,935.4405484790132,0.44462461742562154,281,106,0.05,0.2,1.7801594989684018,3.2573198411563467,4.889387755102068,0.5465105012028681,0.8900797494842009,False,0.0,72.94745848540687,hpsd_50W_10s,24,800.0,0.5,935.4405484790132,0.44462461742562154,False
50.0,10.0,2.0,4.0,1029.7649545364234,0.7376387865032981,281,106,0.05,0.2,1.9021323380715056,3.4130752719984896,5.455102040816357,0.5573074680411992,0.9510661690357528,False,0.0,76.11115955714165,hpsd_50W_10s,25,800.0,0.5,1029.7649545364234,0.7376387865032981,False
50.0,10.0,2.0,4.0,851.3166090363883,0.4960930673582652,281,106,0.05,0.2,1.8211442079688689,3.353724450543241,5.179591836734723,0.5430214183737956,0.9105721039844344,False,0.0,74.73405252376011,hpsd_50W_10s,26,800.0,0.5,851.3166090363883,0.4960930673582652,False
50.0,10.0,2.0,4.0,878.2139128617764,0.6774251995451477,281,106,0.05,0.2,1.8989500832776356,3.4628329338432096,5.5542857142857445,0.548380507970419,0.9494750416388178,False,0.0,77.0721827105747,hpsd_50W_10s,27,800.0,0.5,878.2139128617764,0.6774251995451477,False
50.0,10.0,2.0,4.0,705.5012446283637,0.25,281,106,0.05,0.2,1.7357027636634803,3.28979608526248,4.860000000000027,0.5276019299308623,0.8678513818317402,False,0.0,73.21633144790424,hpsd_50W_10s,28,800.0,0.5,705.5012446283637,0.25,False
50.0,10.0,2.0,4.0,1092.349761510419,0.573655664588506,281,106,0.05,0.2,1.8166330005227789,3.259386249154754,4.915102040816353,0.5573543181615497,0.9083165002613894,False,0.0,73.15671262940678,hpsd_50W_10s,29,800.0,0.5,1092.349761510419,0.573655664588506,False
50.0,10.0,2.0,4.0,716.0093169161812,0.9335212393899559,281,106,0.05,0.2,2.0,3.741470679877305,6.472653061224525,0.5345491575696609,1.0,True,0.0,83.8316623655513,hpsd_50W_10s,30,800.0,0.5,716.0093169161812,0.9335212393899559,False
50.0,10.0,2.0,4.0,826.3642309673461,0.6108198485919675,281,106,0.05,0.2,1.878653672963725,3.4556905039911747,5.4991836734694175,0.5436406040396153,0.9393268364818625,False,0.0,76.79431245910193,hpsd_50W_10s,31,800.0,0.5,826.3642309673461,0.6108198485919675,False
50.0,10.0,2.0,4.0,854.5904195974849,0.5240596943217531,281,106,0.05,0.2,1.8334570266726382,3.3743833047653498,5.27877551020411,0.5433458090203935,0.9167285133363191,False,0.0,75.10411187248943,hpsd_50W_10s,32,800.0,0.5,854.5904195974849,0.5240596943217531,False
50.0,10.0,2.0,4.0,707.2610829507188,0.3122972051630126,281,106,0.05,0.2,1.7653831716805053,3.334703176005471,4.984897959183701,0.5293973941618392,0.8826915858402526,False,0.0,74.11278957525923,hpsd_50W_10s,33,800.0,0.5,707.2610829507188,0.3122972051630126,False
50.0,10.0,2.0,4.0,838.123086783271,0.46772001995631307,281,106,0.05,0.2,1.8107567949225614,3.3409266615316806,5.117142857142885,0.5419923806685425,0.9053783974612807,False,0.0,74.49194630577914,hpsd_50W_10s,34,800.0,0.5,838.123086783271,0.46772001995631307,False
50.0,10.0,2.0,4.0,1004.4645960914625,0.4126473583338441,281,106,0.05,0.2,1.7523979471348532,3.185266804217215,4.632244897959209,0.5501573509681266,0.8761989735674266,False,0.0,71.78878777052148,hpsd_50W_10s,35,800.0,0.5,1004.4645960914625,0.4126473583338441,False
50.0,10.0,2.0,4.0,790.0246289624661,0.3014950743914182,281,106,0.05,0.2,1.7411555959343237,3.255491309727752,4.775510204081659,0.5348365055472785,0.8705777979671618,False,0.0,72.73706350293139,hpsd_50W_10s,36,800.0,0.5,790.0246289624661,0.3014950743914182,False
