source_id,protocol_key,reported_depth_mm,simulated_depth_mm,source_csv,scope_status,benchmark_role,notes
Nakagawa2021_maxDepth,standard_30W_30s,6.6,2.755,analysis/stage8_finish_ready/example_data/benchmark_points.csv,CURRENT_DEPTH_TRACE,protocol-level trend context,Protocol-level starter benchmark from literature abstract
Nakagawa2021_maxDepth,hpsd_50W_10s,4.9,1.764,analysis/stage8_finish_ready/example_data/benchmark_points.csv,CURRENT_DEPTH_TRACE,protocol-level trend context,Protocol-level starter benchmark from literature abstract
Nakagawa2021_maxDepth,vhpsd_90W_4s,3.6,1.302,analysis/stage8_finish_ready/example_data/benchmark_points.csv,CURRENT_DEPTH_TRACE,protocol-level trend context,Protocol-level starter benchmark from literature abstract
