power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name
30.0,30.0,4.0,4.0,1500.0,0.5,281,141,0.05,0.2,2.3870929769241607,0.5967732442310402,False,0.0,61.588852379928134,standard_30W_30s
50.0,10.0,4.0,4.0,1500.0,0.5,281,141,0.05,0.2,1.4720046151974144,0.3680011537993536,False,0.0,65.9919907644646,hpsd_50W_10s
90.0,4.0,4.0,4.0,1500.0,0.5,281,141,0.05,0.2,1.0720671209796175,0.2680167802449044,False,0.0,74.8308998011412,vhpsd_90W_4s
30.0,30.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,2.7550288044576625,0.6887572011144156,False,0.0,65.76571451583307,standard_30W_30s
50.0,10.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.7641540057025002,0.44103850142562506,False,0.0,72.13923982573938,hpsd_50W_10s
90.0,4.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.302022709167702,0.3255056772919255,False,0.0,83.45958660172624,vhpsd_90W_4s
30.0,30.0,4.0,4.0,1500.0,1.5,281,141,0.05,0.2,3.070254475062208,0.767563618765552,False,0.0,70.62661412872852,standard_30W_30s
50.0,10.0,4.0,4.0,1500.0,1.5,281,141,0.05,0.2,1.999598496266713,0.49989962406667826,False,0.0,79.11122098846667,hpsd_50W_10s
90.0,4.0,4.0,4.0,1500.0,1.5,281,141,0.05,0.2,1.4849114005020323,0.3712278501255081,False,0.0,92.13278335038645,vhpsd_90W_4s
