,lesion_depth_mm,lesion_depth_mm,lesion_depth_mm,depth_fraction,depth_fraction,depth_fraction,peak_temperature_C,peak_temperature_C,peak_temperature_C,transmural_int,transmural_int,transmural_int
,mean,min,max,mean,min,max,mean,min,max,mean,min,max
name,,,,,,,,,,,,
hpsd_50W_10s,1.8412094120629459,0.9386950835249668,2.3288013729759265,0.5429901125321172,0.15644918058749446,1.0,77.1560502298027,60.88631910024233,99.94614970103152,0.11666666666666667,0,1
standard_30W_30s,2.639005413215529,1.8010642536461121,3.497835165125453,0.7359496750409794,0.30017737560768537,1.0,69.75456261032342,57.32151192013567,88.83424529685749,0.31666666666666665,0,1
vhpsd_90W_4s,1.367183071965363,0.0,1.7719454268592059,0.40894253642282263,0.0,0.8859727134296029,88.7759966454104,67.7348951880091,113.95869014449913,0.0,0,0
